,K/9,BB/9,LOB%,ERA,FIP,pWAR,OBP,SLG,wOBA,Off,WAR,W
2022MIN,8.367432739,2.931106678,0.73289902,3.983298819,4.032403231,11.48356501,0.317273025,0.400840029,0.3149458463,26.20169386,20.65981093,78
2023BOS,8.955944617,3.127972224,0.71562647,4.518881402,4.372522947,13.73351082,0.324016899,0.424307802,0.3236913245,-9.553076001,13.22840387,78
2023DET,8.573608456,2.9701875,0.69814417,4.243125,4.129318239,14.18711622,0.304813715,0.381526104,0.2998401707,-72.24514816,11.8949906,78
2024TEX,8.642774609,3.34111637,0.72069342,4.374971246,4.318218048,11.7149422,0.305440714,0.380116959,0.300259593,-36.91768575,16.9107674,78
2010MIL,7.86796429,3.640027994,0.70034137,4.590688227,4.205709061,7.394553202,0.334716017,0.423831608,0.3340219904,32.43088262,29.74318964,77
2011NYM,6.998619155,3.19475155,0.71175142,4.189226741,3.999833851,11.93143014,0.33476874,0.390714285,0.3192908789,25.04138143,17.49592295,77
2014TBR,8.83602919,2.963789889,0.74094537,3.560237231,3.563361302,14.09346735,0.317104836,0.366751269,0.3048740399,-19.90660108,20.59977414,77
2014MIA,7.34735957,2.827807297,0.71866112,3.790990568,3.559647595,16.71236209,0.316538524,0.377573131,0.3070515185,-42.35118452,16.44968109,77
2014SDP,8.032438034,2.890176302,0.74869237,3.271779666,3.46380919,12.20291694,0.292065663,0.341896486,0.2831203882,-128.6896796,11.70022606,77
2017MIA,7.498614004,3.911506639,0.70677011,4.81608154,4.690218319,5.537557377,0.330858618,0.430560514,0.3245971734,8.869187505,25.55241979,77
2018NYM,8.909630811,2.982200078,0.73012048,4.07279804,3.96691268,17.85815067,0.312408521,0.388624725,0.3046803427,-49.10840238,16.07065205,77
2019SFG,8.381212231,3.179714289,0.72598122,4.380531246,4.553015686,8.292796657,0.302147738,0.391647248,0.2947973391,-156.4697239,9.117791231,77
2021LAA,9.19835983,3.747714397,0.6958038,4.690973595,4.25467669,15.49484091,0.309774436,0.406842008,0.3084895757,-47.54537359,12.19246013,77
2021DET,7.981451858,3.619864187,0.72632424,4.317211053,4.598538612,9.280394657,0.307550335,0.399181547,0.3057699729,-46.2498034,11.35483423,77
2021NYM,9.48066766,3.099323564,0.732,3.895360353,4.039294696,17.14964214,0.314668498,0.390595009,0.3069068735,-53.18841137,19.7167841,77
2024CIN,8.634454492,3.069327984,0.7389898,4.090336471,4.250722336,17.02960182,0.304654679,0.388169014,0.3034473749,-74.13010878,8.573554855,77
2010HOU,7.566003154,3.426586552,0.71001088,4.08939344,3.886550201,15.5096809,0.302917861,0.362068965,0.2952016471,-156.610813,5.625853427,76
2012SDP,7.559248127,3.381273644,0.71844773,4.014870375,4.110019133,7.831192286,0.319391634,0.379933603,0.3066082671,-8.401450156,21.27115219,76
2013SDP,7.2432997,3.247423008,0.72536496,3.977319989,3.996995365,8.443404933,0.307742998,0.377922784,0.3021326496,-35.41790445,18.16499898,76
2013SFG,7.810226583,3.239751632,0.7208238,3.99838829,3.798199923,7.125797633,0.320222877,0.381304034,0.3085918008,-1.70697001,27.04325921,76
2014CIN,8.029046305,3.15560192,0.76451098,3.585062536,4.008462476,12.83713922,0.29649093,0.364967562,0.2941221459,-115.3606338,14.66158195,76
2015CHW,8.419688326,2.936668335,0.72936879,3.98370831,3.819229395,17.4039308,0.306342109,0.380083137,0.2997232467,-94.27112325,8.759392805,76
2015SEA,7.892686709,3.020505981,0.72801565,4.164730243,4.138378496,9.082441353,0.310684391,0.411075036,0.3127867803,-20.73748344,17.38910815,76
2017TOR,8.428669509,3.372696473,0.7180731,4.423208489,4.308493014,16.57898067,0.312224579,0.411893071,0.3115721971,-69.26180281,8.132340098,76
2023CLE,8.171053171,3.328255067,0.73164975,3.970221869,4.212104135,14.7790307,0.313167844,0.381461998,0.3015157035,-55.24240407,14.53486294,76
2023PIT,8.578322451,3.751049289,0.70139504,4.613287129,4.396299204,11.83961278,0.31453076,0.391971883,0.3084180199,-81.07264538,13.17202536,76
2024PIT,8.482855083,3.22173331,0.70828055,4.172613821,4.032768396,14.80223344,0.301202834,0.371188606,0.2949456498,-101.5912671,6.894318616,76
2009OAK,6.98940592,3.252187986,0.70294536,4.290649542,4.103762726,18.02347669,0.328399034,0.397206303,0.3204637319,-37.95784393,14.1930628,75
2009TOR,7.325293417,3.417643245,0.72240695,4.46588591,4.350012862,15.59552407,0.332754812,0.440308988,0.3371194878,21.5219076,19.14719594,75
2009SDP,7.364200811,3.741038828,0.70852848,4.373851367,4.297221699,11.09869741,0.320773263,0.380645161,0.309496912,-67.12418039,15.52067245,75
2010CHC,7.943388131,3.790023517,0.7040893,4.241067638,4.105220702,13.79398258,0.319624938,0.401487663,0.3178628402,-81.67603081,13.45742159,75
2012SEA,7.204119619,2.774142118,0.74233658,3.762700556,4.000630664,17.61822565,0.295601659,0.368947943,0.2912241078,-89.63880524,9.696208572,75
2016COL,7.700793579,3.444263359,0.67999578,4.917677666,4.376504519,13.13486201,0.336137172,0.457427858,0.3387094231,-46.98300482,21.44347924,75
2017BAL,7.700902807,3.616239031,0.72180368,4.97154796,4.959860528,8.613298279,0.311796377,0.435044247,0.3182893938,-51.27279272,11.65396783,75
